date,symbol,setup_type,entry_close,score,scanner_name,param_set_id,pct_change,volume_ratio,close,notes,days_since_gap,gap_pct,gap_vol_ratio,gap_day_close_location_pct,gap_day_close_vs_open_pct,prior_65d_run_pct,prior_65d_weakness_pct,distance_to_52w_high_before_gap,holding_above_gap_open_days,gap_fill_pct,is_first_gap_in_6m,ep_tier,market_verdict,pct_above_ma20_on_day,pct_above_ma50_on_day,new_highs_52w_on_day,new_lows_52w_on_day,up_volume_ratio_on_day,advancing_on_day,declining_on_day,return_1d,nifty_return_1d,alpha_1d,return_3d,nifty_return_3d,alpha_3d,return_5d,nifty_return_5d,alpha_5d,return_10d,nifty_return_10d,alpha_10d,return_20d,nifty_return_20d,alpha_20d,mfe_3d,mae_3d,mfe_5d,mae_5d,mfe_10d,mae_10d,failed_to_gain_by_3d,failed_to_gain_by_5d,hit_2pct_by_3d,hit_5pct_by_5d,hit_8pct_by_10d
2025-02-14,GODFRYPHLP,EPISODIC_PIVOT,5999.5,88.66,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10.01,8.86,5999.5,Gap 10.0% 0d ago on 8.9x vol,0,10.01,8.86,100.0,9.08,0.0,0.0,12.12,0,46.36,True,A+,AVOID,10.02,8.1,2,81,0.0585,47,421,17.31,-0.05,17.36,9.33,0.97,8.36,-3.55,1.5,-5.05,-15.0,-4.12,-10.88,3.36,0.65,2.71,29.04,-7.4,29.04,-7.4,29.04,-17.45,False,False,True,True,True
2025-02-17,GODFRYPHLP,EPISODIC_PIVOT,7038.0,88.66,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10.01,8.86,7038.0,Gap 10.0% 1d ago on 8.9x vol,1,10.01,8.86,100.0,9.08,0.0,0.0,12.12,1,46.36,True,A+,AVOID,12.15,10.02,1,105,0.6234,238,230,-2.77,-0.79,-1.98,-15.22,2.26,-17.48,-20.63,0.45,-21.08,-27.17,-3.28,-23.89,-13.49,2.77,-16.26,10.0,-16.12,10.0,-23.39,10.0,-29.63,False,False,True,True,True
2025-04-01,IDEA,EPISODIC_PIVOT,8.1,46.78,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10.0,4.68,8.1,Gap 10.0% 0d ago on 4.7x vol,0,10.0,4.68,57.41,8.29,0.0,0.0,35.05,0,0.0,False,A+,AVOID,74.0,52.22,5,8,0.8072,177,296,1.48,0.99,0.49,-2.35,-1.62,-0.73,-11.48,-3.53,-7.95,-9.75,2.37,-12.12,-11.73,3.93,-15.66,2.96,-3.09,2.96,-11.85,2.96,-13.46,False,False,True,False,False
2025-04-02,IDEA,EPISODIC_PIVOT,8.22,46.78,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10.0,4.68,8.22,Gap 10.0% 1d ago on 4.7x vol,1,10.0,4.68,57.41,8.29,0.0,0.0,35.05,1,0.0,False,A+,AVOID,78.86,58.35,3,9,0.8309,359,111,-0.36,0.48,-0.84,-10.46,-6.49,-3.97,-13.75,-5.4,-8.35,-1.82,3.22,-5.04,-16.3,0.79,-17.09,1.46,-12.77,1.46,-14.72,1.46,-14.72,False,False,False,False,False
2025-05-05,RRKABEL,EPISODIC_PIVOT,1175.8,500.36,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",14.28,35.04,1175.8,Gap 14.3% 0d ago on 35.0x vol,0,14.28,35.04,50.4,0.5,-18.02,37.04,29.64,0,25.85,False,A+,OFFENSIVE,68.5,76.32,5,0,0.8725,360,111,3.21,-2.06,5.27,2.92,-2.47,5.39,8.86,1.13,7.73,10.29,5.77,4.52,18.26,7.27,10.99,7.8,-3.33,11.83,-3.33,16.18,-3.33,False,False,True,True,True
2025-05-05,NETWEB,EPISODIC_PIVOT,1604.4,232.81,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10.71,21.73,1604.4,Gap 10.7% 0d ago on 21.7x vol,0,10.71,21.73,53.46,1.93,-22.98,35.19,51.66,0,38.41,False,A+,OFFENSIVE,68.5,76.32,5,0,0.8725,360,111,-2.42,-2.06,-0.36,1.74,-2.47,4.21,7.26,1.13,6.13,14.7,5.77,8.93,21.48,7.27,14.21,7.52,-6.79,12.57,-6.79,17.93,-6.79,False,False,True,True,True
2025-05-06,CCL,EPISODIC_PIVOT,694.45,1653.98,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",15.56,106.27,694.45,Gap 15.6% 0d ago on 106.3x vol,0,15.56,106.27,77.2,1.39,-1.46,23.9,20.56,0,37.24,False,A+,DEFENSIVE,48.84,65.12,5,0,0.2945,74,399,11.25,0.9,10.35,4.16,-0.76,4.92,3.66,3.71,-0.05,19.62,6.65,12.97,28.3,9.25,19.05,15.9,-4.02,15.9,-4.02,22.69,-4.02,False,False,True,True,True
2025-05-06,RRKABEL,EPISODIC_PIVOT,1213.5,500.36,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",14.28,35.04,1213.5,Gap 14.3% 1d ago on 35.0x vol,1,14.28,35.04,50.4,0.5,-18.02,37.04,29.64,1,25.85,False,A+,DEFENSIVE,48.84,65.12,5,0,0.2945,74,399,1.47,0.9,0.57,1.76,-0.76,2.52,8.51,3.71,4.8,6.57,6.65,-0.08,13.41,9.25,4.16,3.01,-4.08,9.35,-4.08,12.57,-4.08,False,False,True,True,True
2025-05-07,CCL,EPISODIC_PIVOT,772.6,1653.98,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",15.56,106.27,772.6,Gap 15.6% 1d ago on 106.3x vol,1,15.56,106.27,77.2,1.39,-1.46,23.9,20.56,1,37.24,False,A+,OFFENSIVE,56.03,69.34,9,2,0.8241,347,125,-5.8,-1.3,-4.5,-5.77,2.34,-8.11,-5.65,4.18,-9.83,4.25,6.55,-2.3,15.14,8.8,6.34,-0.03,-9.01,-0.03,-9.01,10.28,-9.01,True,True,False,False,True
2025-05-12,RPOWER,EPISODIC_PIVOT,42.77,36.65,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",9.7,3.78,42.77,Gap 9.7% 0d ago on 3.8x vol,0,9.7,3.78,56.77,0.87,-3.59,33.26,18.2,0,30.4,False,B,OFFENSIVE,72.73,81.18,16,0,0.9676,446,27,1.73,0.43,1.3,3.58,2.86,0.72,6.83,4.59,2.24,18.49,4.93,13.56,51.09,8.78,42.31,5.45,-0.49,9.26,-0.49,28.83,-0.49,False,False,True,True,True
