scanner_name,universe,start_date,end_date,param_set_id,n_signals,min_gap_pct,min_gap_vol_ratio,max_days_since_gap,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d,raw_n_signals,feature_filters
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",52,4.0,3.0,5,0.83,0.3,53.8,0.58,-0.23,44.2,0.91,1.39,63.5,0.03,0.05,50.0,2.14,3.87,59.6,0.54,-0.04,48.1,5.85,4.36,65.4,3.29,0.04,50.0,16.03,13.21,84.6,11.53,8.94,78.8,6.64,-4.07,9.09,-5.06,14.37,-6.65,5.8,5.8,82.7,69.2,63.5,21,71.4,3.65,14,71.4,3.73,17,35.3,-5.93,273,gap_pct>=9.1
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",17,4.0,3.0,1,2.26,1.47,64.7,2.13,0.47,58.8,0.75,1.74,70.6,0.58,0.72,52.9,1.64,3.66,58.8,0.39,-0.04,47.1,6.29,5.63,64.7,2.92,0.11,52.9,15.15,13.41,76.5,10.06,4.16,70.6,8.03,-4.65,10.38,-5.72,16.2,-7.05,5.9,5.9,88.2,70.6,76.5,8,75.0,5.14,5,80.0,1.61,4,0.0,-10.61,87,gap_pct>=9.1
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",35,4.0,3.0,3,0.42,0.05,51.4,0.33,-0.26,42.9,0.28,1.27,65.7,-0.4,0.57,54.3,1.13,3.66,60.0,-0.63,-0.05,45.7,4.87,4.46,65.7,1.66,0.11,51.4,14.65,12.9,77.1,9.78,6.86,74.3,6.58,-5.07,8.52,-5.8,14.05,-7.24,8.6,8.6,80.0,65.7,71.4,14,78.6,3.97,8,75.0,2.0,13,30.8,-7.2,182,gap_pct>=9.1
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",25,4.0,3.0,2,1.22,0.05,52.0,1.18,-0.19,44.0,-0.01,1.27,64.0,-0.41,0.37,52.0,0.82,2.8,56.0,-0.56,-0.05,44.0,5.12,4.46,64.0,1.84,0.11,52.0,14.74,12.9,76.0,9.69,4.16,72.0,6.94,-5.04,9.09,-6.0,14.84,-7.31,8.0,8.0,84.0,64.0,72.0,12,75.0,4.25,6,83.3,1.91,7,0.0,-10.94,132,gap_pct>=9.1
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",31,4.0,4.0,3,0.3,-0.26,48.4,0.34,-0.36,38.7,-0.05,0.77,61.3,-0.5,0.76,51.6,0.9,4.08,54.8,-0.75,-0.05,48.4,3.24,3.15,61.3,0.13,-0.08,45.2,9.02,10.96,74.2,4.45,4.76,71.0,6.75,-5.64,8.71,-6.47,12.51,-8.09,9.7,9.7,77.4,61.3,67.7,11,72.7,4.95,7,71.4,2.29,13,30.8,-7.2,144,gap_pct>=9.1
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":5.0}",11,4.0,5.0,1,1.88,0.4,54.5,2.18,-0.08,45.5,-0.11,1.27,72.7,-0.22,1.27,54.5,0.66,3.66,54.5,-1.12,-0.05,45.5,1.03,4.25,63.6,-2.23,-0.08,45.5,8.84,5.96,81.8,3.99,3.75,72.7,7.88,-5.5,10.14,-6.18,12.87,-8.09,9.1,9.1,90.9,72.7,81.8,5,60.0,1.15,4,75.0,2.02,2,0.0,-13.06,53,gap_pct>=9.1
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",15,4.0,4.0,1,2.32,0.73,60.0,2.3,0.46,53.3,0.37,1.27,66.7,0.61,1.27,53.3,1.22,3.66,53.3,0.3,-0.05,46.7,4.58,4.25,60.0,1.4,-0.08,46.7,9.51,5.96,73.3,4.9,3.75,66.7,8.45,-5.24,10.64,-6.45,14.66,-7.96,6.7,6.7,86.7,66.7,73.3,7,71.4,5.55,4,75.0,2.02,4,0.0,-10.61,71,gap_pct>=9.1
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",46,4.0,4.0,5,0.84,0.12,52.2,0.62,-0.31,41.3,0.84,1.39,63.0,0.05,0.05,50.0,1.59,3.87,54.3,0.03,-0.25,47.8,3.7,3.12,60.9,1.2,-0.55,43.5,10.98,12.08,82.6,6.62,7.31,76.1,6.91,-4.43,8.83,-5.52,12.42,-7.32,6.5,6.5,80.4,65.2,58.7,17,64.7,3.56,12,66.7,3.48,17,35.3,-5.93,214,gap_pct>=9.1
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":5.0}",16,4.0,5.0,2,1.01,-0.33,43.8,1.19,-0.23,37.5,-0.34,0.78,62.5,-1.01,0.41,50.0,-0.07,1.65,50.0,-2.2,-0.81,43.8,0.03,3.7,62.5,-3.24,-1.08,43.8,8.69,9.03,81.2,3.54,3.52,75.0,7.04,-5.52,8.76,-6.25,11.64,-8.2,6.2,6.2,87.5,62.5,75.0,7,57.1,0.67,5,80.0,2.3,4,0.0,-12.84,77,gap_pct>=9.1
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",22,4.0,4.0,2,1.23,-0.11,50.0,1.31,-0.23,40.9,-0.48,0.52,59.1,-0.51,0.15,50.0,0.43,1.65,50.0,-0.7,-0.81,45.5,3.46,3.7,59.1,0.32,-1.08,45.5,8.76,9.03,72.7,4.13,3.52,68.2,7.2,-5.66,9.31,-6.75,13.24,-8.24,9.1,9.1,81.8,59.1,68.2,10,70.0,4.96,5,80.0,2.3,7,0.0,-10.94,104,gap_pct>=9.1
