scanner_name,universe,start_date,end_date,param_set_id,n_signals,min_gap_pct,min_gap_vol_ratio,max_days_since_gap,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d,raw_n_signals,feature_filters
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",107,4.0,3.0,5,0.65,0.33,57.9,0.46,0.01,50.5,0.98,0.82,59.8,0.87,0.67,55.1,1.92,1.83,61.7,1.79,1.58,63.6,6.44,4.98,59.8,5.61,3.41,59.8,8.72,7.06,70.1,6.16,3.68,59.8,4.81,-3.28,6.72,-4.33,13.53,-6.04,1.9,1.9,67.3,53.3,55.1,47,68.1,2.23,32,50.0,1.42,28,64.3,1.47,273,gap_vol_ratio<=4.9
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",52,4.0,3.0,2,1.0,0.58,65.4,0.51,-0.06,48.1,1.69,1.41,67.3,0.99,0.59,55.8,2.44,2.34,69.2,1.74,1.04,63.5,7.35,6.05,63.5,5.54,3.63,65.4,11.08,7.14,71.2,7.26,4.56,59.6,5.23,-2.78,7.12,-3.92,13.39,-5.36,1.9,1.9,73.1,57.7,59.6,23,87.0,3.54,14,50.0,-0.26,15,60.0,0.86,132,gap_vol_ratio<=4.9
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",71,4.0,3.0,3,0.75,0.33,57.7,0.43,-0.11,46.5,1.28,1.19,64.8,0.93,0.57,54.9,1.69,1.44,63.4,1.41,1.0,60.6,6.84,4.98,62.0,5.5,3.65,62.0,9.93,6.7,70.4,6.85,4.08,59.2,4.99,-3.26,6.64,-4.44,13.39,-5.86,2.8,2.8,69.0,54.9,56.3,34,76.5,2.47,17,47.1,0.25,20,55.0,0.6,182,gap_vol_ratio<=4.9
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",32,4.0,3.0,1,1.2,0.75,68.8,0.55,0.33,53.1,1.99,1.47,68.8,1.01,0.61,56.2,3.15,2.02,71.9,2.15,0.81,62.5,7.46,7.25,59.4,5.38,3.29,65.6,12.6,8.26,71.9,8.29,4.56,59.4,5.2,-2.05,7.42,-3.45,13.19,-4.82,0.0,0.0,68.8,59.4,62.5,13,84.6,3.92,10,60.0,1.55,9,66.7,0.27,87,gap_vol_ratio<=4.9
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",24,4.0,4.0,2,0.58,0.43,66.7,0.16,-0.4,37.5,0.81,0.76,66.7,0.02,-0.26,41.7,2.84,3.88,70.8,1.66,0.46,58.3,5.5,-0.17,50.0,3.79,-0.32,50.0,6.76,4.8,62.5,2.58,-1.1,45.8,4.75,-3.35,7.03,-4.28,11.94,-5.63,4.2,4.2,66.7,58.3,54.2,13,84.6,3.32,6,66.7,0.24,5,40.0,-0.97,104,gap_vol_ratio<=4.9
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",33,4.0,4.0,3,0.05,0.05,54.5,-0.22,-0.47,33.3,0.7,0.76,66.7,0.35,-0.24,42.4,1.77,1.93,57.6,1.29,0.31,54.5,5.02,0.22,51.5,3.77,-0.17,48.5,5.97,4.2,66.7,2.6,-0.16,48.5,4.55,-3.84,6.56,-4.72,11.72,-6.09,6.1,6.1,63.6,57.6,51.5,17,70.6,2.52,8,62.5,1.57,8,25.0,-1.62,144,gap_vol_ratio<=4.9
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",45,4.0,4.0,5,0.72,0.39,64.4,0.51,-0.34,46.7,1.18,0.82,66.7,1.1,0.76,53.3,2.0,1.91,55.6,1.73,0.31,55.6,5.13,-0.55,48.9,4.58,-0.75,46.7,6.94,5.55,71.1,3.89,0.74,57.8,5.29,-3.43,6.83,-4.32,12.24,-6.06,4.4,4.4,68.9,55.6,48.9,22,63.6,2.58,13,53.8,1.64,10,40.0,-0.0,214,gap_vol_ratio<=4.9
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":5.0}",0,4.0,5.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,53,gap_vol_ratio<=4.9
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":5.0}",0,4.0,5.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,77,gap_vol_ratio<=4.9
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",16,4.0,4.0,1,1.28,0.97,68.8,0.4,-0.66,37.5,1.0,0.43,62.5,0.18,-0.48,37.5,3.02,3.83,68.8,1.74,-0.82,50.0,5.44,-0.17,50.0,3.58,-1.4,50.0,7.49,4.85,62.5,3.39,-0.71,50.0,5.11,-2.65,7.2,-3.94,11.85,-5.13,0.0,0.0,62.5,50.0,56.2,7,85.7,4.14,6,66.7,0.24,3,33.3,-0.85,71,gap_vol_ratio<=4.9
