date,symbol,setup_type,entry_close,score,scanner_name,param_set_id,pct_change,volume_ratio,close,notes,days_since_gap,gap_pct,gap_vol_ratio,gap_day_close_location_pct,gap_day_close_vs_open_pct,prior_65d_run_pct,prior_65d_weakness_pct,distance_to_52w_high_before_gap,holding_above_gap_open_days,gap_fill_pct,is_first_gap_in_6m,ep_tier,market_verdict,pct_above_ma20_on_day,pct_above_ma50_on_day,new_highs_52w_on_day,new_lows_52w_on_day,up_volume_ratio_on_day,advancing_on_day,declining_on_day,return_1d,nifty_return_1d,alpha_1d,return_3d,nifty_return_3d,alpha_3d,return_5d,nifty_return_5d,alpha_5d,return_10d,nifty_return_10d,alpha_10d,return_20d,nifty_return_20d,alpha_20d,mfe_3d,mae_3d,mfe_5d,mae_5d,mfe_10d,mae_10d,failed_to_gain_by_3d,failed_to_gain_by_5d,hit_2pct_by_3d,hit_5pct_by_5d,hit_8pct_by_10d
2025-04-11,GRAVITA,EPISODIC_PIVOT,1852.1,61.83,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.5,13.73,1852.1,Gap 4.5% 0d ago on 13.7x vol,0,4.5,13.73,78.23,11.25,-30.5,40.27,31.8,0,37.28,False,B,DEFENSIVE,48.63,47.15,2,0,0.8959,423,50,4.57,2.98,1.59,6.76,4.57,2.19,6.59,7.14,-0.55,-1.52,6.02,-7.54,2.75,9.3,-6.55,9.34,-1.53,9.34,-1.53,9.34,-2.49,False,False,True,True,True
2025-04-11,SYRMA,EPISODIC_PIVOT,479.8,18.42,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.11,4.48,479.8,Gap 4.1% 0d ago on 4.5x vol,0,4.11,4.48,86.89,6.39,-29.52,40.3,33.06,0,28.09,False,B,DEFENSIVE,48.63,47.15,2,0,0.8959,423,50,2.64,2.98,-0.34,4.4,4.57,-0.17,7.76,7.14,0.62,0.22,6.02,-5.8,9.63,9.3,0.33,6.69,1.14,11.13,1.14,11.13,-0.41,False,False,True,True,True
2025-04-15,GRAVITA,EPISODIC_PIVOT,1936.8,61.83,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.5,13.73,1936.8,Gap 4.5% 1d ago on 13.7x vol,1,4.5,13.73,78.23,11.25,-30.5,40.27,31.8,1,37.28,False,B,OFFENSIVE,68.5,62.16,11,0,0.9797,448,25,-0.69,0.93,-1.62,2.28,3.41,-1.13,0.96,4.74,-3.78,-9.52,1.88,-11.4,-0.89,7.26,-8.15,4.55,-2.01,4.55,-2.01,4.55,-10.94,False,False,True,False,False
2025-04-15,SYRMA,EPISODIC_PIVOT,492.45,18.42,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.11,4.48,492.45,Gap 4.1% 1d ago on 4.5x vol,1,4.11,4.48,86.89,6.39,-29.52,40.3,33.06,1,28.09,False,B,OFFENSIVE,68.5,62.16,11,0,0.9797,448,25,0.46,0.93,-0.47,0.76,3.41,-2.65,5.74,4.74,1.0,-5.49,1.88,-7.37,7.54,7.26,0.28,3.35,-0.48,8.27,-0.48,8.27,-6.18,False,False,True,True,True
2025-05-02,RAILTEL,EPISODIC_PIVOT,316.0,155.91,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.94,26.23,316.0,Gap 5.9% 0d ago on 26.2x vol,0,5.94,26.23,10.33,0.75,-24.33,37.73,31.81,0,0.0,True,B,DEFENSIVE,57.51,71.46,7,2,0.4271,203,269,2.17,1.35,0.82,-2.64,0.15,-2.79,-2.42,-1.5,-0.92,21.38,6.71,14.67,26.12,8.36,17.76,3.8,-6.44,3.8,-7.97,24.3,-7.97,False,False,True,False,True
2025-05-05,RRKABEL,EPISODIC_PIVOT,1175.8,500.36,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",14.28,35.04,1175.8,Gap 14.3% 0d ago on 35.0x vol,0,14.28,35.04,50.4,0.5,-18.02,37.04,29.64,0,25.85,False,A+,OFFENSIVE,68.5,76.32,5,0,0.8725,360,111,3.21,-2.06,5.27,2.92,-2.47,5.39,8.86,1.13,7.73,10.29,5.77,4.52,18.26,7.27,10.99,7.8,-3.33,11.83,-3.33,16.18,-3.33,False,False,True,True,True
2025-05-05,RAILTEL,EPISODIC_PIVOT,322.85,155.91,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.94,26.23,322.85,Gap 5.9% 1d ago on 26.2x vol,1,5.94,26.23,10.33,0.75,-24.33,37.73,31.81,1,0.0,True,B,OFFENSIVE,68.5,76.32,5,0,0.8725,360,111,-6.13,-2.06,-4.07,-6.91,-2.47,-4.44,-0.14,1.13,-1.27,23.08,5.77,17.31,23.66,7.27,16.39,0.22,-8.42,0.34,-9.93,24.64,-9.93,False,False,False,False,True
2025-05-06,RRKABEL,EPISODIC_PIVOT,1213.5,500.36,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",14.28,35.04,1213.5,Gap 14.3% 1d ago on 35.0x vol,1,14.28,35.04,50.4,0.5,-18.02,37.04,29.64,1,25.85,False,A+,DEFENSIVE,48.84,65.12,5,0,0.2945,74,399,1.47,0.9,0.57,1.76,-0.76,2.52,8.51,3.71,4.8,6.57,6.65,-0.08,13.41,9.25,4.16,3.01,-4.08,9.35,-4.08,12.57,-4.08,False,False,True,True,True
2025-05-12,IFCI,EPISODIC_PIVOT,43.3,24.58,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",7.03,3.49,43.3,Gap 7.0% 0d ago on 3.5x vol,0,7.03,3.49,64.51,3.1,-30.22,37.35,37.62,0,21.38,False,B,OFFENSIVE,72.73,81.18,16,0,0.9676,446,27,0.25,0.43,-0.18,3.35,2.86,0.49,20.14,4.59,15.55,34.99,4.93,30.06,55.24,8.78,46.46,4.5,-1.8,25.1,-1.8,37.9,-1.8,False,False,True,True,True
2025-05-13,IFCI,EPISODIC_PIVOT,43.41,24.58,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",7.03,3.49,43.41,Gap 7.0% 1d ago on 3.5x vol,1,7.03,3.49,64.51,3.1,-30.22,37.35,37.62,1,21.38,False,B,DEFENSIVE,68.71,82.03,12,1,0.5216,261,211,2.03,1.37,0.66,19.26,3.67,15.59,14.21,2.84,11.37,40.66,4.57,36.09,53.49,8.52,44.97,21.58,-0.35,24.79,-0.35,41.56,-0.35,False,False,True,True,True
