scanner_name,universe,start_date,end_date,param_set_id,n_signals,min_gap_pct,min_gap_vol_ratio,max_days_since_gap,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d,raw_n_signals,feature_filters
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",32,4.0,3.0,3,1.05,0.75,68.8,0.52,-0.1,43.8,3.7,2.78,81.2,2.31,1.0,65.6,5.62,5.96,81.2,3.35,2.34,71.9,11.58,6.42,71.9,8.39,2.25,59.4,16.82,13.76,90.6,11.08,8.88,75.0,7.36,-2.71,10.05,-3.27,18.08,-4.94,3.1,3.1,87.5,71.9,78.1,20,85.0,4.65,11,72.7,1.09,1,100.0,2.29,182,prior_65d_weakness_pct>=37
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",24,4.0,3.0,2,0.74,0.75,70.8,0.18,-0.1,41.7,3.56,2.46,83.3,2.08,0.75,62.5,6.23,5.96,87.5,3.68,2.21,75.0,11.89,6.42,75.0,8.27,2.44,62.5,17.71,13.91,91.7,11.8,10.49,79.2,7.11,-2.73,10.33,-3.21,18.19,-4.64,4.2,4.2,87.5,70.8,83.3,15,93.3,5.39,9,77.8,0.81,0,0.0,0.0,132,prior_65d_weakness_pct>=37
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",47,4.0,3.0,5,1.18,0.48,66.0,0.65,-0.09,44.7,3.01,2.28,74.5,1.81,0.74,57.4,4.72,5.37,74.5,2.74,1.87,63.8,10.54,6.27,68.1,8.15,2.23,55.3,15.19,12.96,91.5,9.95,7.76,70.2,6.82,-2.81,9.29,-3.43,17.19,-5.31,2.1,2.1,80.9,70.2,68.1,28,75.0,3.48,17,70.6,1.82,2,100.0,0.26,273,prior_65d_weakness_pct>=37
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",18,4.0,4.0,2,0.81,1.36,72.2,0.27,0.24,50.0,2.37,2.46,83.3,1.04,1.02,55.6,5.31,5.96,83.3,2.59,1.84,66.7,6.83,3.8,66.7,3.33,0.01,50.0,12.5,10.87,88.9,6.22,3.52,72.2,6.53,-3.28,9.31,-3.92,14.59,-5.83,5.6,5.6,88.9,77.8,77.8,11,90.9,4.83,7,71.4,-0.92,0,0.0,0.0,104,prior_65d_weakness_pct>=37
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":3,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",24,4.0,4.0,3,0.55,0.85,66.7,0.04,-0.21,45.8,2.65,2.78,79.2,1.3,1.04,58.3,4.54,5.96,75.0,2.11,1.84,62.5,5.67,3.12,62.5,2.58,-0.06,45.8,11.86,10.3,87.5,5.67,3.52,66.7,6.64,-3.32,8.93,-4.06,13.41,-6.3,4.2,4.2,87.5,75.0,70.8,14,78.6,3.58,9,66.7,-0.2,1,100.0,2.29,144,prior_65d_weakness_pct>=37
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",17,4.0,3.0,1,0.71,0.46,70.6,0.06,-0.11,41.2,2.66,1.76,76.5,1.32,0.49,52.9,6.02,6.59,82.4,3.4,1.0,70.6,11.67,6.57,76.5,7.58,2.6,64.7,17.85,15.36,88.2,11.78,10.99,82.4,6.45,-3.04,10.12,-3.72,17.62,-4.73,5.9,5.9,82.4,64.7,88.2,10,90.0,5.63,7,71.4,0.21,0,0.0,0.0,87,prior_65d_weakness_pct>=37
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",13,4.0,4.0,1,0.76,1.47,69.2,0.07,-0.08,46.2,1.64,1.76,76.9,0.5,-0.17,46.2,5.03,6.59,76.9,2.32,1.0,61.5,8.15,5.63,69.2,4.1,0.11,53.8,12.59,9.63,84.6,6.14,3.75,76.9,6.22,-3.6,9.08,-4.49,15.44,-5.8,7.7,7.7,84.6,69.2,84.6,7,85.7,5.72,6,66.7,-1.65,0,0.0,0.0,71,prior_65d_weakness_pct>=37
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":5.0}",12,4.0,5.0,2,-0.25,0.94,58.3,-0.45,0.24,50.0,1.06,2.02,75.0,0.25,0.42,50.0,2.36,4.8,75.0,-0.13,0.73,50.0,3.67,3.8,66.7,-0.22,0.01,50.0,8.63,9.03,83.3,2.35,3.52,66.7,4.86,-4.28,6.68,-5.24,11.24,-6.89,8.3,8.3,83.3,66.7,75.0,6,83.3,0.92,6,66.7,-1.18,0,0.0,0.0,77,prior_65d_weakness_pct>=37
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":4.0}",35,4.0,4.0,5,1.13,1.25,65.7,0.54,-0.08,48.6,2.5,2.64,74.3,1.25,0.14,51.4,3.52,5.27,65.7,1.42,0.62,51.4,5.11,2.99,57.1,2.83,-1.94,40.0,11.29,8.51,88.6,5.56,2.38,60.0,6.63,-3.14,8.4,-3.98,12.41,-6.5,2.9,2.9,80.0,68.6,57.1,20,65.0,2.29,13,61.5,0.25,2,100.0,0.26,214,prior_65d_weakness_pct>=37
detect_episodic_pivot,NIFTY500,2025-01-01,2025-06-30,"detect_episodic_pivot:{""max_days_since_gap"":1,""min_gap_pct"":4.0,""min_gap_vol_ratio"":5.0}",9,4.0,5.0,1,-0.71,0.4,55.6,-1.02,-0.08,44.4,-0.36,1.27,66.7,-0.78,-0.46,44.4,1.74,4.34,66.7,-0.51,-0.55,44.4,4.69,5.63,66.7,0.42,0.11,55.6,8.11,5.96,77.8,1.88,3.75,66.7,3.9,-5.03,6.12,-6.31,11.94,-7.41,11.1,11.1,77.8,55.6,77.8,4,75.0,1.5,5,60.0,-2.11,0,0.0,0.0,53,prior_65d_weakness_pct>=37
