date,symbol,setup_type,entry_close,score,scanner_name,param_set_id,pct_change,volume_ratio,close,notes,days_since_gap,gap_pct,gap_vol_ratio,gap_day_close_location_pct,gap_day_close_vs_open_pct,prior_65d_run_pct,prior_65d_weakness_pct,distance_to_52w_high_before_gap,holding_above_gap_open_days,gap_fill_pct,is_first_gap_in_6m,ep_tier,market_verdict,pct_above_ma20_on_day,pct_above_ma50_on_day,new_highs_52w_on_day,new_lows_52w_on_day,up_volume_ratio_on_day,advancing_on_day,declining_on_day,return_1d,nifty_return_1d,alpha_1d,return_3d,nifty_return_3d,alpha_3d,return_5d,nifty_return_5d,alpha_5d,return_10d,nifty_return_10d,alpha_10d,return_20d,nifty_return_20d,alpha_20d,mfe_3d,mae_3d,mfe_5d,mae_5d,mfe_10d,mae_10d,failed_to_gain_by_3d,failed_to_gain_by_5d,hit_2pct_by_3d,hit_5pct_by_5d,hit_8pct_by_10d
2025-08-04,PARADEEP,EPISODIC_PIVOT,228.63,84.76,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10.45,8.11,228.63,Gap 10.5% 4d ago on 8.1x vol,4,10.45,8.11,14.35,-1.71,0.0,0.0,3.08,1,32.66,True,B,AVOID,28.72,37.53,14,9,0.8481,344,126,-0.84,-0.2,-0.64,-1.86,-1.15,-0.71,-0.3,-1.79,1.49,-9.38,0.82,-10.2,-7.72,0.74,-8.46,1.82,-3.5,1.82,-3.5,1.82,-13.88,False,False,False,False,False
2025-08-05,SARDAEN,EPISODIC_PIVOT,540.3,841.26,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",20.0,42.07,540.3,Gap 20.0% 1d ago on 42.1x vol,1,20.0,42.07,90.22,-0.55,0.0,0.0,5.93,1,33.75,True,A+,AVOID,27.67,35.01,15,2,0.5751,184,291,7.67,-1.03,8.7,-0.99,-2.18,1.19,2.09,-1.62,3.71,10.97,1.43,9.54,3.6,0.31,3.29,12.48,-1.73,12.48,-1.73,14.57,-1.73,False,False,True,True,True
2025-08-05,PARADEEP,EPISODIC_PIVOT,226.72,84.76,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10.45,8.11,226.72,Gap 10.5% 5d ago on 8.1x vol,5,10.45,8.11,14.35,-1.71,0.0,0.0,3.08,2,32.66,True,B,AVOID,27.67,35.01,15,2,0.5751,184,291,2.14,-1.03,3.17,-0.86,-2.18,1.32,-7.01,-1.62,-5.39,-5.27,1.43,-6.7,-8.63,0.31,-8.94,2.68,-2.69,2.68,-7.59,2.68,-13.15,False,False,True,False,False
2025-08-06,SARDAEN,EPISODIC_PIVOT,581.75,841.26,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",20.0,42.07,581.75,Gap 20.0% 2d ago on 42.1x vol,2,20.0,42.07,90.22,-0.55,0.0,0.0,5.93,2,33.75,True,B,AVOID,22.01,33.12,6,8,0.243,105,371,-4.33,0.08,-4.41,-4.31,-0.57,-3.74,-4.08,0.09,-4.17,2.99,2.5,0.49,-2.12,1.49,-3.61,4.34,-8.73,4.34,-8.73,6.4,-8.73,False,False,True,False,False
2025-08-07,SARDAEN,EPISODIC_PIVOT,556.55,841.26,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",20.0,42.07,556.55,Gap 20.0% 3d ago on 42.1x vol,3,20.0,42.07,90.22,-0.55,0.0,0.0,5.93,3,33.75,True,B,AVOID,22.85,32.91,6,10,0.5184,240,234,-3.88,-1.25,-2.63,-0.89,-0.68,-0.21,-0.43,-0.34,-0.09,7.23,2.1,5.13,3.51,1.72,1.79,2.38,-4.6,3.49,-4.6,11.22,-4.6,False,False,True,False,True
2025-08-08,SARDAEN,EPISODIC_PIVOT,534.95,841.26,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",20.0,42.07,534.95,Gap 20.0% 4d ago on 42.1x vol,4,20.0,42.07,90.22,-0.55,0.0,0.0,5.93,4,33.75,True,B,AVOID,16.56,26.42,6,8,0.1747,86,391,4.06,0.6,3.46,4.31,1.28,3.03,8.66,2.32,6.34,11.0,3.53,7.47,9.25,3.34,5.91,7.67,0.54,9.92,0.54,15.71,0.54,False,False,True,True,True
2025-08-11,SARDAEN,EPISODIC_PIVOT,556.65,841.26,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",20.0,42.07,556.65,Gap 20.0% 5d ago on 42.1x vol,5,20.0,42.07,90.22,-0.55,0.0,0.0,5.93,5,33.75,True,B,AVOID,22.59,32.01,8,12,0.7884,322,152,-0.91,-0.02,-0.89,-0.45,0.32,-0.77,6.09,2.66,3.43,6.51,1.2,5.31,4.47,3.47,1.0,3.48,-2.99,7.43,-2.99,11.2,-2.99,False,False,True,True,True
2025-08-11,HBLENGINE,EPISODIC_PIVOT,683.95,524.1,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10.04,52.22,683.95,Gap 10.0% 0d ago on 52.2x vol,0,10.04,52.22,82.46,3.63,0.0,0.0,7.69,0,23.09,True,A+,AVOID,22.59,32.01,8,12,0.7884,322,152,1.18,-0.02,1.2,11.95,0.32,11.63,15.48,2.66,12.82,12.77,1.2,11.57,26.79,3.47,23.32,15.15,-0.42,16.14,-0.42,19.15,-0.42,False,False,True,True,True
2025-08-12,HBLENGINE,EPISODIC_PIVOT,692.0,524.1,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",10.04,52.22,692.0,Gap 10.0% 1d ago on 52.2x vol,1,10.04,52.22,82.46,3.63,0.0,0.0,7.69,1,23.09,True,A+,AVOID,23.85,31.17,7,3,0.3585,216,261,10.32,0.69,9.63,11.68,1.73,9.95,14.44,3.1,11.34,12.85,0.12,12.73,23.31,3.45,19.86,13.82,-1.58,17.3,-1.58,17.76,-1.58,False,False,True,True,True
2025-08-13,NSLNISP,EPISODIC_PIVOT,43.02,726.66,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":5,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",11.69,62.17,43.02,Gap 11.7% 0d ago on 62.2x vol,0,11.69,62.17,100.0,7.44,0.0,0.0,13.59,0,16.47,True,A+,AVOID,30.75,33.26,12,7,0.5585,310,164,-6.83,-0.35,-6.48,-7.65,1.98,-9.63,-9.23,2.41,-11.64,-12.09,-0.92,-11.17,7.65,3.06,4.59,4.35,-8.72,4.35,-9.58,4.35,-12.62,False,False,True,False,False
