date,symbol,setup_type,entry_close,score,scanner_name,param_set_id,pct_change,volume_ratio,close,notes,days_since_gap,gap_pct,gap_vol_ratio,gap_day_close_location_pct,gap_day_close_vs_open_pct,prior_65d_run_pct,prior_65d_weakness_pct,distance_to_52w_high_before_gap,holding_above_gap_open_days,gap_fill_pct,is_first_gap_in_6m,ep_tier,market_verdict,pct_above_ma20_on_day,pct_above_ma50_on_day,new_highs_52w_on_day,new_lows_52w_on_day,up_volume_ratio_on_day,advancing_on_day,declining_on_day,return_1d,nifty_return_1d,alpha_1d,return_3d,nifty_return_3d,alpha_3d,return_5d,nifty_return_5d,alpha_5d,return_10d,nifty_return_10d,alpha_10d,return_20d,nifty_return_20d,alpha_20d,mfe_3d,mae_3d,mfe_5d,mae_5d,mfe_10d,mae_10d,failed_to_gain_by_3d,failed_to_gain_by_5d,hit_2pct_by_3d,hit_5pct_by_5d,hit_8pct_by_10d
2025-08-05,GODFRYPHLP,EPISODIC_PIVOT,9874.5,22.75,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.19,4.38,9874.5,Gap 5.2% 0d ago on 4.4x vol,0,5.19,4.38,98.65,4.49,0.0,0.0,8.59,0,18.97,True,B,AVOID,27.67,35.01,15,2,0.5751,184,291,9.92,-1.03,10.95,0.76,-2.18,2.94,-2.48,-1.62,-0.86,12.05,1.43,10.62,5.86,0.31,5.55,15.89,-1.06,15.89,-3.13,15.96,-3.4,False,False,True,True,True
2025-08-06,GODFRYPHLP,EPISODIC_PIVOT,10854.5,22.75,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.19,4.38,10854.5,Gap 5.2% 1d ago on 4.4x vol,1,5.19,4.38,98.65,4.49,0.0,0.0,8.59,1,18.97,True,B,AVOID,22.01,33.12,6,8,0.243,105,371,-7.89,0.08,-7.97,-9.34,-0.57,-8.77,-7.44,0.09,-7.53,2.62,2.5,0.12,2.01,1.49,0.52,5.43,-9.99,5.43,-11.88,5.62,-12.12,False,False,True,True,False
2025-08-07,GODFRYPHLP,EPISODIC_PIVOT,9998.5,22.75,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",5.19,4.38,9998.5,Gap 5.2% 2d ago on 4.4x vol,2,5.19,4.38,98.65,4.49,0.0,0.0,8.59,2,18.97,True,B,AVOID,22.85,32.91,6,10,0.5184,240,234,-0.49,-1.25,0.76,-3.69,-0.68,-3.01,1.84,-0.34,2.18,5.68,2.1,3.58,6.59,1.72,4.87,4.52,-4.33,4.52,-4.33,14.67,-4.6,False,False,True,False,True
2025-08-18,PGEL,EPISODIC_PIVOT,528.6,24.5,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",6.61,3.71,528.6,Gap 6.6% 0d ago on 3.7x vol,0,6.61,3.71,27.32,1.26,0.0,0.0,41.46,0,12.36,True,B,AVOID,42.47,38.49,26,1,0.7623,362,112,2.21,0.94,1.27,5.78,1.37,4.41,10.48,1.18,9.3,6.0,0.04,5.96,7.81,3.09,4.72,8.54,0.09,11.37,0.09,11.37,0.09,False,False,True,True,True
2025-08-18,TVSMOTOR,EPISODIC_PIVOT,3219.7,18.94,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.49,4.22,3219.7,Gap 4.5% 0d ago on 4.2x vol,0,4.49,4.22,70.75,2.02,0.0,0.0,0.8,0,17.33,True,B,AVOID,42.47,38.49,26,1,0.7623,362,112,1.0,0.94,0.06,1.9,1.37,0.53,2.02,1.18,0.84,4.66,0.04,4.62,8.7,3.09,5.61,2.74,-0.31,3.05,-0.31,5.41,-0.31,False,False,True,False,False
2025-08-19,PGEL,EPISODIC_PIVOT,540.3,24.5,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",6.61,3.71,540.3,Gap 6.6% 1d ago on 3.7x vol,1,6.61,3.71,27.32,1.26,0.0,0.0,41.46,1,12.36,True,B,DEFENSIVE,53.65,42.8,22,1,0.9182,346,130,-0.68,0.41,-1.09,4.33,0.11,4.22,3.14,-1.42,4.56,2.39,-0.07,2.46,5.32,2.56,2.76,6.94,-1.17,8.96,-1.17,8.96,-1.67,False,False,True,True,True
2025-08-19,TVSMOTOR,EPISODIC_PIVOT,3251.9,18.94,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.49,4.22,3251.9,Gap 4.5% 1d ago on 4.2x vol,1,4.49,4.22,70.75,2.02,0.0,0.0,0.8,1,17.33,True,B,DEFENSIVE,53.65,42.8,22,1,0.9182,346,130,-0.68,0.41,-1.09,1.31,0.11,1.2,0.63,-1.42,2.05,4.56,-0.07,4.63,7.63,2.56,5.07,1.73,-0.94,2.03,-0.94,4.97,-0.94,False,False,False,False,False
2025-08-20,PGEL,EPISODIC_PIVOT,536.6,24.5,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",6.61,3.71,536.6,Gap 6.6% 2d ago on 3.7x vol,2,6.61,3.71,27.32,1.26,0.0,0.0,41.46,2,12.36,True,B,OFFENSIVE,58.46,44.05,22,0,0.819,252,226,4.2,0.02,4.18,8.83,-0.17,9.0,0.87,-2.89,3.76,3.43,-1.1,4.53,5.74,2.09,3.65,9.71,-0.25,9.71,-0.25,9.86,-0.99,False,False,True,True,True
2025-08-20,TVSMOTOR,EPISODIC_PIVOT,3229.8,18.94,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.49,4.22,3229.8,Gap 4.5% 2d ago on 4.2x vol,2,4.49,4.22,70.75,2.02,0.0,0.0,0.8,2,17.33,True,B,OFFENSIVE,58.46,44.05,22,0,0.819,252,226,1.58,0.02,1.56,1.7,-0.17,1.87,0.81,-2.89,3.7,6.3,-1.1,7.4,9.81,2.09,7.72,2.73,-0.06,3.69,-0.06,8.37,-0.06,False,False,True,False,True
2025-11-07,PARADEEP,EPISODIC_PIVOT,173.95,14.97,detect_episodic_pivot,"detect_episodic_pivot:{""max_days_since_gap"":2,""min_gap_pct"":4.0,""min_gap_vol_ratio"":3.0}",4.66,3.21,173.95,Gap 4.7% 0d ago on 3.2x vol,0,4.66,3.21,82.25,1.46,-24.79,30.73,30.11,0,61.26,False,B,AVOID,38.97,44.54,13,17,0.7715,243,242,-3.79,0.14,-3.93,-7.48,0.97,-8.45,-6.46,0.71,-7.17,-11.61,-0.76,-10.85,-11.35,-2.14,-9.21,3.94,-9.17,3.94,-9.17,3.94,-12.04,False,False,True,False,False
