scanner_name,universe,start_date,end_date,param_set_id,n_signals,min_pct,min_vol_ratio,max_prior_run,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d,raw_n_signals,feature_filters
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",7,4.0,1.3,8.0,-1.08,-1.68,28.6,-1.66,-1.42,28.6,-1.35,-1.89,28.6,-2.36,-2.3,28.6,-0.34,1.97,57.1,-2.04,-1.04,42.9,-1.58,0.09,57.1,-0.07,2.56,57.1,2.6,4.9,85.7,0.06,0.22,71.4,5.11,-4.69,5.68,-4.71,6.89,-9.41,0.0,0.0,71.4,42.9,42.9,3,66.7,2.03,2,100.0,0.47,2,0.0,-10.64,2356,mb_quality:HIGH
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",7,4.0,1.3,10.0,-1.08,-1.68,28.6,-1.66,-1.42,28.6,-1.35,-1.89,28.6,-2.36,-2.3,28.6,-0.34,1.97,57.1,-2.04,-1.04,42.9,-1.58,0.09,57.1,-0.07,2.56,57.1,2.6,4.9,85.7,0.06,0.22,71.4,5.11,-4.69,5.68,-4.71,6.89,-9.41,0.0,0.0,71.4,42.9,42.9,3,66.7,2.03,2,100.0,0.47,2,0.0,-10.64,2467,mb_quality:HIGH
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",7,4.0,1.3,12.0,-1.08,-1.68,28.6,-1.66,-1.42,28.6,-1.35,-1.89,28.6,-2.36,-2.3,28.6,-0.34,1.97,57.1,-2.04,-1.04,42.9,-1.58,0.09,57.1,-0.07,2.56,57.1,2.6,4.9,85.7,0.06,0.22,71.4,5.11,-4.69,5.68,-4.71,6.89,-9.41,0.0,0.0,71.4,42.9,42.9,3,66.7,2.03,2,100.0,0.47,2,0.0,-10.64,2523,mb_quality:HIGH
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.3}",7,4.0,1.3,15.0,-1.08,-1.68,28.6,-1.66,-1.42,28.6,-1.35,-1.89,28.6,-2.36,-2.3,28.6,-0.34,1.97,57.1,-2.04,-1.04,42.9,-1.58,0.09,57.1,-0.07,2.56,57.1,2.6,4.9,85.7,0.06,0.22,71.4,5.11,-4.69,5.68,-4.71,6.89,-9.41,0.0,0.0,71.4,42.9,42.9,3,66.7,2.03,2,100.0,0.47,2,0.0,-10.64,2588,mb_quality:HIGH
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",7,4.0,1.5,8.0,-1.08,-1.68,28.6,-1.66,-1.42,28.6,-1.35,-1.89,28.6,-2.36,-2.3,28.6,-0.34,1.97,57.1,-2.04,-1.04,42.9,-1.58,0.09,57.1,-0.07,2.56,57.1,2.6,4.9,85.7,0.06,0.22,71.4,5.11,-4.69,5.68,-4.71,6.89,-9.41,0.0,0.0,71.4,42.9,42.9,3,66.7,2.03,2,100.0,0.47,2,0.0,-10.64,1911,mb_quality:HIGH
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",7,4.0,1.5,10.0,-1.08,-1.68,28.6,-1.66,-1.42,28.6,-1.35,-1.89,28.6,-2.36,-2.3,28.6,-0.34,1.97,57.1,-2.04,-1.04,42.9,-1.58,0.09,57.1,-0.07,2.56,57.1,2.6,4.9,85.7,0.06,0.22,71.4,5.11,-4.69,5.68,-4.71,6.89,-9.41,0.0,0.0,71.4,42.9,42.9,3,66.7,2.03,2,100.0,0.47,2,0.0,-10.64,1997,mb_quality:HIGH
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":12.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",7,4.0,1.5,12.0,-1.08,-1.68,28.6,-1.66,-1.42,28.6,-1.35,-1.89,28.6,-2.36,-2.3,28.6,-0.34,1.97,57.1,-2.04,-1.04,42.9,-1.58,0.09,57.1,-0.07,2.56,57.1,2.6,4.9,85.7,0.06,0.22,71.4,5.11,-4.69,5.68,-4.71,6.89,-9.41,0.0,0.0,71.4,42.9,42.9,3,66.7,2.03,2,100.0,0.47,2,0.0,-10.64,2041,mb_quality:HIGH
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":15.0,""min_pct"":4.0,""min_vol_ratio"":1.5}",7,4.0,1.5,15.0,-1.08,-1.68,28.6,-1.66,-1.42,28.6,-1.35,-1.89,28.6,-2.36,-2.3,28.6,-0.34,1.97,57.1,-2.04,-1.04,42.9,-1.58,0.09,57.1,-0.07,2.56,57.1,2.6,4.9,85.7,0.06,0.22,71.4,5.11,-4.69,5.68,-4.71,6.89,-9.41,0.0,0.0,71.4,42.9,42.9,3,66.7,2.03,2,100.0,0.47,2,0.0,-10.64,2098,mb_quality:HIGH
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":8.0,""min_pct"":4.0,""min_vol_ratio"":1.8}",6,4.0,1.8,8.0,-1.93,-1.96,16.7,-2.41,-2.06,16.7,-1.26,-1.4,33.3,-2.59,-3.23,33.3,-0.89,0.45,50.0,-2.92,-2.33,33.3,-1.22,1.9,66.7,-0.5,-1.07,50.0,2.22,7.31,83.3,0.04,2.78,66.7,5.14,-5.11,5.8,-5.11,6.63,-9.62,0.0,0.0,66.7,50.0,33.3,2,50.0,1.4,2,100.0,0.47,2,0.0,-10.64,1421,mb_quality:HIGH
detect_momentum_burst,NIFTY500,2025-01-01,2025-06-30,"detect_momentum_burst:{""max_prior_run"":10.0,""min_pct"":4.0,""min_vol_ratio"":1.8}",6,4.0,1.8,10.0,-1.93,-1.96,16.7,-2.41,-2.06,16.7,-1.26,-1.4,33.3,-2.59,-3.23,33.3,-0.89,0.45,50.0,-2.92,-2.33,33.3,-1.22,1.9,66.7,-0.5,-1.07,50.0,2.22,7.31,83.3,0.04,2.78,66.7,5.14,-5.11,5.8,-5.11,6.63,-9.62,0.0,0.0,66.7,50.0,33.3,2,50.0,1.4,2,100.0,0.47,2,0.0,-10.64,1486,mb_quality:HIGH
