date,symbol,setup_type,entry_close,score,scanner_name,param_set_id,pct_change,volume_ratio,close,notes,distance_above_ma50_pct,distance_above_ma150_pct,distance_above_ma200_pct,ma150_above_ma200,ma200_rising_20d,within_25pct_of_52w_high,relative_strength_vs_benchmark_3m,trend_efficiency_ratio,pullback_depth_20d,vol_dryup_ratio_10d,market_verdict,pct_above_ma20_on_day,pct_above_ma50_on_day,new_highs_52w_on_day,new_lows_52w_on_day,up_volume_ratio_on_day,advancing_on_day,declining_on_day,return_1d,nifty_return_1d,alpha_1d,return_3d,nifty_return_3d,alpha_3d,return_5d,nifty_return_5d,alpha_5d,return_10d,nifty_return_10d,alpha_10d,return_20d,nifty_return_20d,alpha_20d,mfe_3d,mae_3d,mfe_5d,mae_5d,mfe_10d,mae_10d,failed_to_gain_by_3d,failed_to_gain_by_5d,hit_2pct_by_3d,hit_5pct_by_5d,hit_8pct_by_10d
2025-05-15,GRASIM,TREND_INTENSITY,2824.8,9.99,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",2.32,2.34,2824.8,"New 50d high, 37d above MA50",9.13,,,False,False,True,4.16,0.1873,7.17,1.08,OFFENSIVE,81.4,87.74,18,0,0.8677,353,119,-0.73,1.21,-1.94,-3.68,0.4,-4.08,-5.32,0.94,-6.26,-8.89,2.85,-11.74,-4.8,4.23,-9.03,0.72,-4.06,0.72,-6.25,0.72,-9.65,False,False,False,False,False
2025-05-15,ICICIBANK,TREND_INTENSITY,1450.8,7.78,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.16,1.47,1450.8,"New 50d high, 41d above MA50",8.26,,,False,False,True,6.59,0.3287,7.8,0.88,OFFENSIVE,81.4,87.74,18,0,0.8677,353,119,0.22,1.21,-0.99,-0.87,0.4,-1.27,-0.6,0.94,-1.54,0.39,2.85,-2.46,-1.76,4.23,-5.99,0.61,-1.05,0.61,-1.59,1.43,-1.59,False,False,False,False,False
2025-06-02,AUBANK,TREND_INTENSITY,718.65,28.88,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",1.73,2.54,718.65,"New 50d high, 36d above MA50",13.87,,,False,False,True,5.9,0.3835,7.98,0.99,OFFENSIVE,72.94,80.34,16,1,0.7792,270,202,1.34,-0.26,1.6,0.19,0.78,-0.59,7.42,2.56,4.86,8.74,0.97,7.77,13.75,3.2,10.55,2.69,-0.76,8.9,-0.88,9.23,-0.88,False,False,True,True,True
2025-06-02,PNB,TREND_INTENSITY,108.46,7.28,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",2.49,1.96,108.46,"New 50d high, 39d above MA50",10.48,,,False,False,True,2.98,0.5803,18.09,0.92,OFFENSIVE,72.94,80.34,16,1,0.7792,270,202,0.9,-0.26,1.16,0.52,0.78,-0.26,3.45,2.56,0.89,-1.54,0.97,-2.51,1.88,3.2,-1.32,2.57,-0.42,4.08,-0.42,4.08,-3.37,False,False,True,False,False
2025-06-06,MANAPPURAM,TREND_INTENSITY,247.56,25.17,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",2.99,5.49,247.56,"New 50d high, 50d above MA50",6.96,,,False,False,True,3.96,0.4144,9.02,1.58,OFFENSIVE,71.88,80.97,23,0,0.723,283,188,6.96,1.05,5.91,8.39,1.14,7.25,12.92,-0.93,13.85,9.65,-2.15,11.8,11.75,1.59,10.16,10.68,1.02,13.43,1.02,15.08,1.02,False,False,True,True,True
2025-06-06,POLYCAB,TREND_INTENSITY,6108.5,8.69,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.1,1.38,6108.5,"New 50d high, 33d above MA50",8.74,,,False,False,True,2.66,0.1091,5.46,0.92,OFFENSIVE,71.88,80.97,23,0,0.723,283,188,0.58,1.05,-0.47,0.95,1.14,-0.19,-1.28,-0.93,-0.35,-1.77,-2.15,0.38,9.97,1.59,8.38,2.48,-0.09,2.48,-5.71,2.48,-5.71,False,False,True,False,False
2025-06-09,POLYCAB,TREND_INTENSITY,6144.0,8.3,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.58,1.25,6144.0,"New 50d high, 34d above MA50",8.94,,,False,False,True,2.84,0.126,6.87,1.0,OFFENSIVE,78.22,85.62,26,0,0.9317,349,121,-0.1,0.18,-0.28,-1.53,-1.44,-0.09,-0.6,-1.55,0.95,2.37,-2.78,5.15,9.05,0.37,8.68,1.21,-2.18,1.21,-6.25,3.09,-6.25,False,False,False,False,False
2025-06-12,DRREDDY,TREND_INTENSITY,1362.7,6.28,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.86,1.51,1362.7,"New 50d high, 37d above MA50",13.16,,,False,False,True,3.91,0.7666,12.2,1.18,DEFENSIVE,57.72,79.28,14,0,0.1127,67,405,-0.01,-0.53,0.52,-3.22,-0.76,-2.46,-2.69,-2.6,-0.09,-3.02,0.86,-3.88,-7.35,2.21,-9.56,0.3,-4.41,0.3,-4.41,0.3,-4.45,False,False,False,False,False
2025-06-20,RELIANCE,TREND_INTENSITY,1466.2,17.13,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.67,3.14,1466.2,"New 50d high, 46d above MA50",5.59,,,False,False,True,5.03,0.1707,5.13,1.16,AVOID,37.02,62.34,9,1,0.9311,346,124,-0.64,0.4,-1.04,0.08,2.19,-2.11,3.36,3.29,0.07,4.17,3.83,0.34,0.67,4.36,-3.69,0.6,-1.65,3.81,-1.65,4.48,-1.65,False,False,False,False,False
2025-06-25,TITAN,TREND_INTENSITY,3652.2,17.05,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.42,3.32,3652.2,"New 50d high, 49d above MA50",5.03,,,False,False,True,6.19,0.0994,7.69,1.53,OFFENSIVE,57.42,73.73,17,1,0.8691,358,113,1.16,0.46,0.7,1.04,1.7,-0.66,1.53,1.36,0.17,-6.03,1.82,-7.85,-4.95,2.24,-7.19,1.56,-0.22,2.03,-0.22,2.03,-6.34,False,False,False,False,False
