scanner_name,universe,start_date,end_date,param_set_id,n_signals,max_atr_pct,min_days_above_ma50,min_vol_ratio,avg_return_1d,median_return_1d,win_rate_1d,avg_alpha_1d,median_alpha_1d,alpha_win_rate_1d,avg_return_3d,median_return_3d,win_rate_3d,avg_alpha_3d,median_alpha_3d,alpha_win_rate_3d,avg_return_5d,median_return_5d,win_rate_5d,avg_alpha_5d,median_alpha_5d,alpha_win_rate_5d,avg_return_10d,median_return_10d,win_rate_10d,avg_alpha_10d,median_alpha_10d,alpha_win_rate_10d,avg_return_20d,median_return_20d,win_rate_20d,avg_alpha_20d,median_alpha_20d,alpha_win_rate_20d,avg_mfe_3d,avg_mae_3d,avg_mfe_5d,avg_mae_5d,avg_mfe_10d,avg_mae_10d,pct_failed_to_gain_by_3d,pct_failed_to_gain_by_5d,pct_hit_2pct_by_3d,pct_hit_5pct_by_5d,pct_hit_8pct_by_10d,signals_offensive,offensive_win_rate_5d,offensive_avg_alpha_5d,signals_defensive,defensive_win_rate_5d,defensive_avg_alpha_5d,signals_avoid,avoid_win_rate_5d,avoid_avg_alpha_5d,raw_n_signals,feature_filters
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.5}",10,0.02,30,1.5,1.12,0.91,70.0,0.73,0.43,70.0,0.36,0.35,70.0,-0.5,-0.62,30.0,1.69,1.08,60.0,0.7,-0.01,50.0,-0.6,-2.28,40.0,-1.79,-3.19,30.0,-4.97,-4.88,40.0,-7.24,-5.54,20.0,2.49,-1.4,3.97,-1.98,4.23,-3.67,0.0,0.0,40.0,20.0,20.0,8,62.5,0.88,1,0.0,-0.09,1,100.0,0.07,49,relative_strength_vs_benchmark_3m:2.4..6.7
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":35,""min_vol_ratio"":1.5}",10,0.02,35,1.5,1.12,0.91,70.0,0.73,0.43,70.0,0.36,0.35,70.0,-0.5,-0.62,30.0,1.69,1.08,60.0,0.7,-0.01,50.0,-0.6,-2.28,40.0,-1.79,-3.19,30.0,-4.97,-4.88,40.0,-7.24,-5.54,20.0,2.49,-1.4,3.97,-1.98,4.23,-3.67,0.0,0.0,40.0,20.0,20.0,8,62.5,0.88,1,0.0,-0.09,1,100.0,0.07,44,relative_strength_vs_benchmark_3m:2.4..6.7
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":35,""min_vol_ratio"":1.2}",13,0.02,35,1.2,1.03,0.9,76.9,0.54,0.33,69.2,0.4,0.25,69.2,-0.45,-0.66,30.8,1.39,0.63,61.5,0.39,-0.09,46.2,-0.51,-1.54,46.2,-1.85,-2.51,30.8,-4.73,-4.8,30.8,-7.01,-5.99,15.4,2.24,-1.21,3.41,-1.69,3.77,-3.14,0.0,0.0,38.5,15.4,15.4,11,63.6,0.47,1,0.0,-0.09,1,100.0,0.07,57,relative_strength_vs_benchmark_3m:2.4..6.7
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":35,""min_vol_ratio"":1.3}",13,0.02,35,1.3,1.03,0.9,76.9,0.54,0.33,69.2,0.4,0.25,69.2,-0.45,-0.66,30.8,1.39,0.63,61.5,0.39,-0.09,46.2,-0.51,-1.54,46.2,-1.85,-2.51,30.8,-4.73,-4.8,30.8,-7.01,-5.99,15.4,2.24,-1.21,3.41,-1.69,3.77,-3.14,0.0,0.0,38.5,15.4,15.4,11,63.6,0.47,1,0.0,-0.09,1,100.0,0.07,53,relative_strength_vs_benchmark_3m:2.4..6.7
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",15,0.02,30,1.2,0.92,0.64,73.3,0.42,0.29,60.0,0.31,0.25,66.7,-0.41,-0.59,26.7,1.08,0.25,53.3,0.38,-0.09,46.7,-0.4,-1.54,46.7,-1.23,-2.46,40.0,-2.83,-3.88,40.0,-4.94,-5.23,26.7,2.19,-1.2,3.2,-2.26,3.64,-3.52,0.0,0.0,40.0,13.3,13.3,13,53.8,0.44,1,0.0,-0.09,1,100.0,0.07,68,relative_strength_vs_benchmark_3m:2.4..6.7
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":40,""min_vol_ratio"":1.5}",6,0.02,40,1.5,1.61,0.93,83.3,0.98,0.31,66.7,1.63,1.06,83.3,0.4,-0.3,50.0,2.34,1.08,66.7,1.27,-0.18,50.0,-0.22,-1.59,50.0,-1.26,-2.92,33.3,-8.87,-5.11,33.3,-10.5,-5.54,16.7,3.1,-0.72,4.28,-1.3,4.67,-3.07,0.0,0.0,33.3,16.7,16.7,5,60.0,1.51,0,0.0,0.0,1,100.0,0.07,34,relative_strength_vs_benchmark_3m:2.4..6.7
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.3}",14,0.02,30,1.3,1.0,0.77,78.6,0.47,0.31,64.3,0.44,0.39,71.4,-0.43,-0.62,28.6,1.2,0.44,57.1,0.34,-0.22,42.9,-0.6,-1.66,42.9,-1.69,-2.48,35.7,-3.68,-4.34,35.7,-5.91,-5.61,21.4,2.26,-1.13,3.34,-1.98,3.68,-3.33,0.0,0.0,42.9,14.3,14.3,12,58.3,0.4,1,0.0,-0.09,1,100.0,0.07,62,relative_strength_vs_benchmark_3m:2.4..6.7
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":40,""min_vol_ratio"":1.2}",9,0.02,40,1.2,1.32,0.91,88.9,0.63,0.29,66.7,1.26,1.04,77.8,0.17,-0.66,44.4,1.69,0.63,66.7,0.63,-0.44,44.4,-0.22,0.35,55.6,-1.52,-2.46,33.3,-7.22,-4.95,22.2,-9.09,-5.99,11.1,2.54,-0.67,3.37,-1.11,3.86,-2.5,0.0,0.0,33.3,11.1,11.1,8,62.5,0.7,0,0.0,0.0,1,100.0,0.07,46,relative_strength_vs_benchmark_3m:2.4..6.7
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":40,""min_vol_ratio"":1.3}",9,0.02,40,1.3,1.32,0.91,88.9,0.63,0.29,66.7,1.26,1.04,77.8,0.17,-0.66,44.4,1.69,0.63,66.7,0.63,-0.44,44.4,-0.22,0.35,55.6,-1.52,-2.46,33.3,-7.22,-4.95,22.2,-9.09,-5.99,11.1,2.54,-0.67,3.37,-1.11,3.86,-2.5,0.0,0.0,33.3,11.1,11.1,8,62.5,0.7,0,0.0,0.0,1,100.0,0.07,42,relative_strength_vs_benchmark_3m:2.4..6.7
detect_trend_intensity,NIFTY500,2025-01-01,2025-06-30,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":45,""min_vol_ratio"":1.2}",9,0.02,45,1.2,1.32,0.91,88.9,0.63,0.29,66.7,1.26,1.04,77.8,0.17,-0.66,44.4,1.69,0.63,66.7,0.63,-0.44,44.4,-0.22,0.35,55.6,-1.52,-2.46,33.3,-7.22,-4.95,22.2,-9.09,-5.99,11.1,2.54,-0.67,3.37,-1.11,3.86,-2.5,0.0,0.0,33.3,11.1,11.1,8,62.5,0.7,0,0.0,0.0,1,100.0,0.07,42,relative_strength_vs_benchmark_3m:2.4..6.7
