date,symbol,setup_type,entry_close,score,scanner_name,param_set_id,pct_change,volume_ratio,close,notes,distance_above_ma50_pct,distance_above_ma150_pct,distance_above_ma200_pct,ma150_above_ma200,ma200_rising_20d,within_25pct_of_52w_high,relative_strength_vs_benchmark_3m,trend_efficiency_ratio,pullback_depth_20d,vol_dryup_ratio_10d,market_verdict,pct_above_ma20_on_day,pct_above_ma50_on_day,new_highs_52w_on_day,new_lows_52w_on_day,up_volume_ratio_on_day,advancing_on_day,declining_on_day,return_1d,nifty_return_1d,alpha_1d,return_3d,nifty_return_3d,alpha_3d,return_5d,nifty_return_5d,alpha_5d,return_10d,nifty_return_10d,alpha_10d,return_20d,nifty_return_20d,alpha_20d,mfe_3d,mae_3d,mfe_5d,mae_5d,mfe_10d,mae_10d,failed_to_gain_by_3d,failed_to_gain_by_5d,hit_2pct_by_3d,hit_5pct_by_5d,hit_8pct_by_10d
2025-03-18,KOTAKBANK,TREND_INTENSITY,2034.0,,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",2.05,1.41,2034.0,"New 50d high, 4d above MA50",6.8,,,False,False,True,,0.2572,7.12,1.06,DEFENSIVE,61.44,27.54,6,5,0.9515,423,49,-0.61,2.06,-2.67,2.21,4.6,-2.39,6.69,4.64,2.05,5.93,4.81,1.12,10.2,8.18,2.02,3.13,-0.86,8.28,-0.86,8.28,-0.86,False,False,True,True,True
2025-03-21,ICICIBANK,TREND_INTENSITY,1343.1,,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",1.62,5.65,1343.1,"New 50d high, 7d above MA50",7.89,,,False,False,True,,0.4514,11.04,1.44,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,1.12,1.23,-0.11,-0.54,-0.9,0.36,0.39,-0.29,0.68,-4.14,-6.31,2.17,4.44,4.68,-0.24,2.23,-0.97,2.23,-1.18,2.23,-5.81,False,False,True,False,False
2025-03-21,KOTAKBANK,TREND_INTENSITY,2079.0,,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",2.13,4.67,2079.0,"New 50d high, 7d above MA50",8.25,,,False,False,True,,0.3007,9.71,1.37,OFFENSIVE,87.32,53.28,14,1,0.8631,374,97,4.67,1.23,3.44,3.17,-0.9,4.07,4.43,-0.29,4.72,-1.98,-6.31,4.33,6.93,4.68,2.25,5.94,0.54,5.94,0.54,5.94,-3.76,False,False,True,True,False
2025-03-24,JSWSTEEL,TREND_INTENSITY,1061.35,,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.25,1.29,1061.35,"New 50d high, 8d above MA50",9.89,,,False,False,True,,0.3727,12.26,1.05,OFFENSIVE,91.75,61.52,15,1,0.6754,350,122,0.03,-1.18,1.21,-0.15,-1.14,0.99,-0.48,-1.99,1.51,-10.06,-5.45,-4.61,-3.1,0.78,-3.88,1.28,-1.07,1.28,-1.07,1.28,-14.71,False,False,False,False,False
2025-03-24,KOTAKBANK,TREND_INTENSITY,2176.15,,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",4.67,1.78,2176.15,"New 50d high, 8d above MA50",12.82,,,False,False,True,,0.5067,13.29,1.27,OFFENSIVE,91.75,61.52,15,1,0.6754,350,122,-0.28,-1.18,0.9,-2.18,-1.14,-1.04,-1.39,-1.99,0.6,-5.56,-5.45,-0.11,1.3,0.78,0.52,1.21,-2.95,1.21,-2.95,1.21,-8.06,False,False,False,False,False
2025-03-25,CEMPRO,TREND_INTENSITY,560.55,,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",1.08,2.56,560.55,"New 50d high, 9d above MA50",5.35,,,False,False,True,,0.4284,8.08,1.36,DEFENSIVE,86.68,53.7,8,3,0.1424,109,363,-0.95,-0.93,-0.02,-0.58,-0.32,-0.26,-0.5,0.16,-0.66,-4.16,-5.25,1.09,-9.4,2.82,-12.22,0.61,-1.43,0.61,-1.43,1.68,-6.13,False,False,False,False,False
2025-03-26,SBICARD,TREND_INTENSITY,868.6,,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.38,1.43,868.6,"New 50d high, 10d above MA50",6.19,,,False,False,True,,0.1936,7.29,0.97,DEFENSIVE,80.76,49.89,4,2,0.2166,115,357,0.22,0.98,-0.76,-0.75,0.12,-0.87,-2.11,1.59,-3.7,-1.91,-2.0,0.09,1.13,3.91,-2.78,1.83,-4.44,1.83,-4.44,1.83,-12.1,False,False,False,False,False
2025-04-08,CEMPRO,TREND_INTENSITY,560.8,,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.04,1.38,560.8,"New 50d high, 18d above MA50",4.05,,,False,False,True,16.72,0.3508,7.68,1.18,AVOID,37.42,39.53,1,1,0.6904,427,46,-4.2,-0.97,-3.23,-5.06,4.5,-9.56,-5.1,6.12,-11.22,-7.56,6.59,-14.15,-3.11,8.96,-12.07,1.36,-7.45,1.36,-7.45,1.36,-9.04,False,False,False,False,False
2025-05-15,GRASIM,TREND_INTENSITY,2824.8,9.99,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",2.32,2.34,2824.8,"New 50d high, 37d above MA50",9.13,,,False,False,True,4.16,0.1873,7.17,1.08,OFFENSIVE,81.4,87.74,18,0,0.8677,353,119,-0.73,1.21,-1.94,-3.68,0.4,-4.08,-5.32,0.94,-6.26,-8.89,2.85,-11.74,-4.8,4.23,-9.03,0.72,-4.06,0.72,-6.25,0.72,-9.65,False,False,False,False,False
2025-05-15,ICICIBANK,TREND_INTENSITY,1450.8,7.78,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",0.16,1.47,1450.8,"New 50d high, 41d above MA50",8.26,,,False,False,True,6.59,0.3287,7.8,0.88,OFFENSIVE,81.4,87.74,18,0,0.8677,353,119,0.22,1.21,-0.99,-0.87,0.4,-1.27,-0.6,0.94,-1.54,0.39,2.85,-2.46,-1.76,4.23,-5.99,0.61,-1.05,0.61,-1.59,1.43,-1.59,False,False,False,False,False
2025-05-23,HDFCLIFE,TREND_INTENSITY,780.4,11.68,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",2.72,1.68,780.4,"New 50d high, 47d above MA50",11.4,,,False,False,True,11.87,0.4267,11.35,0.82,OFFENSIVE,81.4,84.57,14,1,0.867,315,156,-0.05,0.59,-0.64,1.16,0.94,0.22,-0.45,1.35,-1.8,-3.24,3.2,-6.44,-0.19,0.98,-1.17,1.33,-1.37,1.37,-1.37,1.37,-4.28,False,False,False,False,False
2025-05-26,MRF,TREND_INTENSITY,146625.0,19.36,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",2.06,1.77,146625.0,"New 50d high, 42d above MA50",17.41,,,False,False,True,20.66,0.6274,12.85,0.9,OFFENSIVE,82.03,84.78,18,1,0.6779,306,163,-1.8,0.08,-1.88,-3.9,0.83,-4.73,-4.01,1.09,-5.1,-5.48,3.67,-9.15,-7.55,0.79,-8.34,0.12,-4.51,0.12,-6.56,0.12,-7.38,False,False,False,False,False
2025-05-28,HDFCLIFE,TREND_INTENSITY,789.45,11.6,detect_trend_intensity,"detect_trend_intensity:{""max_atr_pct"":0.02,""min_days_above_ma50"":30,""min_vol_ratio"":1.2}",1.16,1.53,789.45,"New 50d high, 50d above MA50",11.24,,,False,False,True,12.8,0.2917,10.41,0.99,DEFENSIVE,78.22,80.55,18,0,0.5934,224,247,-1.08,0.48,-1.56,-2.88,0.74,-3.62,-3.88,0.97,-4.85,-3.2,3.4,-6.6,-0.55,2.22,-2.77,0.21,-3.41,0.21,-5.38,0.21,-5.62,False,False,False,False,False
